skill_id,event_timestamp,created_timestamp,curriculum_score,industry_score,practical_score,projects_completed,internships_completed,certifications,coding_score,communication_score,problem_solving_score,teamwork_score,industry_demand_score,curriculum_relevance_score,skill_gap,employability_score,gap_level
SKILL_014,2026-01-01 00:00:13+00:00,2026-01-01 00:00:14+00:00,86.0,88.0,91.0,0,1,3,46.0,73.0,36.0,37.0,93.0,81.0,2.0,77.5,Low
SKILL_015,2026-01-01 00:00:14+00:00,2026-01-01 00:00:15+00:00,90.0,56.0,88.0,0,1,1,88.0,35.0,53.0,36.0,97.0,88.0,0.0,75.8,Low
SKILL_016,2026-01-01 00:00:15+00:00,2026-01-01 00:00:16+00:00,66.0,94.0,84.0,2,2,0,72.0,58.0,45.0,50.0,77.0,53.0,28.0,78.8,High
SKILL_017,2026-01-01 00:00:16+00:00,2026-01-01 00:00:17+00:00,50.0,68.0,32.0,3,2,3,53.0,53.0,54.0,86.0,85.0,77.0,18.0,69.45,Medium
SKILL_018,2026-01-01 00:00:17+00:00,2026-01-01 00:00:18+00:00,73.0,57.0,30.0,2,0,0,84.0,57.0,65.0,76.0,79.0,51.0,0.0,66.35,Low
SKILL_019,2026-01-01 00:00:18+00:00,2026-01-01 00:00:19+00:00,60.0,87.0,89.0,0,1,0,82.0,46.0,71.0,66.0,99.0,53.0,27.0,75.1,High
SKILL_020,2026-01-01 00:00:19+00:00,2026-01-01 00:00:20+00:00,69.0,58.0,77.0,2,1,0,58.0,70.0,72.0,59.0,73.0,62.0,0.0,74.25,Low
SKILL_021,2026-01-01 00:00:20+00:00,2026-01-01 00:00:21+00:00,52.0,41.0,83.0,2,0,0,67.0,67.0,48.0,55.0,92.0,64.0,0.0,64.75,Low
SKILL_022,2026-01-01 00:00:21+00:00,2026-01-01 00:00:22+00:00,41.0,42.0,46.0,0,2,2,56.0,64.0,72.0,85.0,98.0,52.0,1.0,63.15,Low
SKILL_023,2026-01-01 00:00:22+00:00,2026-01-01 00:00:23+00:00,55.0,69.0,57.0,0,0,3,95.0,82.0,53.0,38.0,79.0,93.0,14.0,68.1,Medium
SKILL_024,2026-01-01 00:00:23+00:00,2026-01-01 00:00:24+00:00,78.0,67.0,59.0,4,1,4,40.0,71.0,58.0,80.0,97.0,75.0,0.0,81.9,Low
SKILL_025,2026-01-01 00:00:24+00:00,2026-01-01 00:00:25+00:00,94.0,72.0,92.0,4,0,0,52.0,59.0,88.0,92.0,47.0,84.0,0.0,88.8,Low
SKILL_026,2026-01-01 00:00:25+00:00,2026-01-01 00:00:26+00:00,58.0,89.0,61.0,5,2,1,61.0,36.0,51.0,67.0,53.0,87.0,31.0,77.65,High
SKILL_027,2026-01-01 00:00:26+00:00,2026-01-01 00:00:27+00:00,73.0,68.0,71.0,1,2,1,59.0,58.0,47.0,94.0,51.0,80.0,0.0,77.5,Low
SKILL_028,2026-01-01 00:00:27+00:00,2026-01-01 00:00:28+00:00,54.0,40.0,37.0,5,1,3,49.0,100.0,66.0,97.0,66.0,95.0,0.0,76.05,Low
SKILL_029,2026-01-01 00:00:28+00:00,2026-01-01 00:00:29+00:00,86.0,81.0,44.0,5,2,3,42.0,87.0,94.0,39.0,83.0,48.0,0.0,87.2,Low
SKILL_030,2026-01-01 00:00:29+00:00,2026-01-01 00:00:30+00:00,79.0,71.0,76.0,2,2,3,50.0,47.0,64.0,53.0,61.0,100.0,0.0,80.45,Low
SKILL_031,2026-01-01 00:00:30+00:00,2026-01-01 00:00:31+00:00,62.0,97.0,84.0,1,0,1,96.0,57.0,43.0,46.0,97.0,45.0,35.0,74.5,High
SKILL_032,2026-01-01 00:00:31+00:00,2026-01-01 00:00:32+00:00,81.0,73.0,77.0,0,0,4,35.0,50.0,95.0,98.0,49.0,66.0,0.0,78.5,Low
SKILL_033,2026-01-01 00:00:32+00:00,2026-01-01 00:00:33+00:00,46.0,65.0,45.0,2,0,0,63.0,81.0,96.0,50.0,70.0,70.0,19.0,63.15,Medium
SKILL_034,2026-01-01 00:00:33+00:00,2026-01-01 00:00:34+00:00,55.0,78.0,62.0,5,1,4,57.0,44.0,68.0,86.0,75.0,54.0,23.0,81.3,Medium
SKILL_035,2026-01-01 00:00:34+00:00,2026-01-01 00:00:35+00:00,92.0,71.0,30.0,4,0,3,50.0,58.0,36.0,66.0,71.0,64.0,0.0,72.1,Low
SKILL_036,2026-01-01 00:00:35+00:00,2026-01-01 00:00:36+00:00,84.0,74.0,62.0,0,0,2,77.0,46.0,99.0,67.0,84.0,54.0,0.0,76.55,Low
SKILL_037,2026-01-01 00:00:36+00:00,2026-01-01 00:00:37+00:00,78.0,68.0,42.0,3,2,1,69.0,42.0,60.0,68.0,95.0,85.0,0.0,75.55,Low
SKILL_038,2026-01-01 00:00:37+00:00,2026-01-01 00:00:38+00:00,38.0,97.0,58.0,3,0,4,70.0,44.0,58.0,98.0,79.0,93.0,59.0,73.3,High
SKILL_039,2026-01-01 00:00:38+00:00,2026-01-01 00:00:39+00:00,82.0,75.0,53.0,5,0,3,89.0,47.0,57.0,64.0,61.0,93.0,0.0,83.25,Low
SKILL_040,2026-01-01 00:00:39+00:00,2026-01-01 00:00:40+00:00,82.0,64.0,42.0,2,2,0,46.0,95.0,53.0,43.0,51.0,72.0,0.0,71.3,Low
SKILL_041,2026-01-01 00:00:40+00:00,2026-01-01 00:00:41+00:00,65.0,91.0,45.0,4,0,2,46.0,59.0,86.0,87.0,67.0,60.0,26.0,75.45,High
SKILL_042,2026-01-01 00:00:41+00:00,2026-01-01 00:00:42+00:00,79.0,92.0,71.0,1,2,1,39.0,69.0,52.0,43.0,54.0,88.0,13.0,74.9,Medium
SKILL_043,2026-01-01 00:00:42+00:00,2026-01-01 00:00:43+00:00,95.0,77.0,36.0,5,0,1,43.0,84.0,61.0,100.0,49.0,73.0,0.0,81.1,Low
SKILL_044,2026-01-01 00:00:43+00:00,2026-01-01 00:00:44+00:00,72.0,58.0,37.0,4,0,3,51.0,79.0,38.0,70.0,50.0,75.0,0.0,70.05,Low
SKILL_045,2026-01-01 00:00:44+00:00,2026-01-01 00:00:45+00:00,95.0,83.0,83.0,2,1,1,53.0,73.0,79.0,47.0,94.0,72.0,0.0,85.0,Low
SKILL_046,2026-01-01 00:00:45+00:00,2026-01-01 00:00:46+00:00,62.0,47.0,90.0,0,2,0,37.0,96.0,97.0,59.0,100.0,77.0,0.0,74.95,Low
SKILL_047,2026-01-01 00:00:46+00:00,2026-01-01 00:00:47+00:00,87.0,45.0,87.0,3,0,4,95.0,81.0,55.0,70.0,79.0,63.0,0.0,90.5,Low
SKILL_048,2026-01-01 00:00:47+00:00,2026-01-01 00:00:48+00:00,91.0,57.0,76.0,0,0,0,88.0,37.0,50.0,91.0,55.0,56.0,0.0,74.65,Low
SKILL_049,2026-01-01 00:00:48+00:00,2026-01-01 00:00:49+00:00,66.0,55.0,53.0,3,0,1,70.0,42.0,92.0,94.0,94.0,72.0,0.0,73.4,Low
SKILL_050,2026-01-01 00:00:49+00:00,2026-01-01 00:00:50+00:00,75.0,75.0,93.0,2,1,0,67.0,63.0,47.0,80.0,79.0,50.0,0.0,80.9,Low
SKILL_051,2026-01-01 00:00:50+00:00,2026-01-01 00:00:51+00:00,85.0,44.0,76.0,0,1,1,90.0,64.0,39.0,67.0,98.0,45.0,0.0,75.85,Low
SKILL_052,2026-01-01 00:00:51+00:00,2026-01-01 00:00:52+00:00,66.0,86.0,78.0,2,0,1,97.0,93.0,61.0,83.0,57.0,77.0,20.0,84.45,Medium
SKILL_053,2026-01-01 00:00:52+00:00,2026-01-01 00:00:53+00:00,75.0,74.0,30.0,4,2,3,39.0,37.0,87.0,57.0,81.0,97.0,0.0,74.6,Low
SKILL_054,2026-01-01 00:00:53+00:00,2026-01-01 00:00:54+00:00,44.0,49.0,46.0,4,1,0,35.0,85.0,79.0,38.0,45.0,93.0,5.0,61.55,Low
SKILL_055,2026-01-01 00:00:54+00:00,2026-01-01 00:00:55+00:00,66.0,73.0,68.0,1,1,1,88.0,37.0,84.0,46.0,45.0,98.0,7.0,73.8,Low
SKILL_056,2026-01-01 00:00:55+00:00,2026-01-01 00:00:56+00:00,39.0,69.0,86.0,0,2,4,48.0,100.0,85.0,72.0,78.0,82.0,30.0,78.75,High
SKILL_057,2026-01-01 00:00:56+00:00,2026-01-01 00:00:57+00:00,68.0,57.0,59.0,2,2,1,86.0,72.0,64.0,85.0,61.0,49.0,0.0,81.0,Low
SKILL_058,2026-01-01 00:00:57+00:00,2026-01-01 00:00:58+00:00,44.0,95.0,46.0,1,0,3,68.0,40.0,87.0,100.0,57.0,87.0,51.0,69.1,High
SKILL_059,2026-01-01 00:00:58+00:00,2026-01-01 00:00:59+00:00,82.0,50.0,52.0,2,1,3,38.0,90.0,59.0,61.0,73.0,76.0,0.0,74.1,Low
SKILL_060,2026-01-01 00:00:59+00:00,2026-01-01 00:01:00+00:00,95.0,97.0,80.0,2,0,4,76.0,95.0,56.0,55.0,50.0,45.0,2.0,91.45,Low
SKILL_061,2026-01-01 00:01:00+00:00,2026-01-01 00:01:01+00:00,75.0,51.0,75.0,1,0,1,79.0,61.0,60.0,81.0,66.0,91.0,0.0,74.4,Low
SKILL_062,2026-01-01 00:01:01+00:00,2026-01-01 00:01:02+00:00,82.0,56.0,55.0,3,0,0,86.0,81.0,90.0,48.0,70.0,72.0,0.0,77.9,Low
SKILL_063,2026-01-01 00:01:02+00:00,2026-01-01 00:01:03+00:00,58.0,41.0,55.0,5,2,2,41.0,37.0,57.0,52.0,82.0,79.0,0.0,69.35,Low
SKILL_064,2026-01-01 00:01:03+00:00,2026-01-01 00:01:04+00:00,49.0,64.0,57.0,1,2,0,51.0,78.0,59.0,51.0,57.0,64.0,15.0,64.5,Medium
SKILL_065,2026-01-01 00:01:04+00:00,2026-01-01 00:01:05+00:00,44.0,42.0,47.0,3,2,1,42.0,74.0,76.0,75.0,81.0,50.0,0.0,66.9,Low
SKILL_066,2026-01-01 00:01:05+00:00,2026-01-01 00:01:06+00:00,60.0,73.0,88.0,2,0,4,67.0,87.0,56.0,55.0,50.0,50.0,13.0,79.75,Medium
SKILL_067,2026-01-01 00:01:06+00:00,2026-01-01 00:01:07+00:00,38.0,69.0,91.0,5,1,0,37.0,65.0,74.0,70.0,68.0,75.0,31.0,74.05,High
SKILL_068,2026-01-01 00:01:07+00:00,2026-01-01 00:01:08+00:00,36.0,59.0,33.0,5,1,0,85.0,96.0,91.0,100.0,59.0,55.0,23.0,75.95,Medium
SKILL_069,2026-01-01 00:01:08+00:00,2026-01-01 00:01:09+00:00,60.0,90.0,74.0,3,0,1,53.0,54.0,46.0,81.0,45.0,70.0,30.0,72.35,High
SKILL_070,2026-01-01 00:01:09+00:00,2026-01-01 00:01:10+00:00,72.0,76.0,40.0,3,0,2,37.0,67.0,40.0,84.0,100.0,54.0,4.0,67.25,Low
SKILL_071,2026-01-01 00:01:10+00:00,2026-01-01 00:01:11+00:00,57.0,49.0,73.0,1,0,1,99.0,97.0,51.0,43.0,55.0,59.0,0.0,71.2,Low
SKILL_072,2026-01-01 00:01:11+00:00,2026-01-01 00:01:12+00:00,89.0,74.0,78.0,4,1,3,84.0,43.0,68.0,69.0,45.0,84.0,0.0,91.35,Low
SKILL_073,2026-01-01 00:01:12+00:00,2026-01-01 00:01:13+00:00,45.0,80.0,43.0,3,1,2,71.0,39.0,60.0,96.0,48.0,69.0,35.0,70.0,High
SKILL_074,2026-01-01 00:01:13+00:00,2026-01-01 00:01:14+00:00,76.0,64.0,47.0,5,2,4,72.0,57.0,97.0,49.0,77.0,69.0,0.0,87.9,Low
SKILL_075,2026-01-01 00:01:14+00:00,2026-01-01 00:01:15+00:00,67.0,86.0,95.0,5,0,2,73.0,85.0,40.0,41.0,95.0,52.0,19.0,84.9,Medium
SKILL_076,2026-01-01 00:01:15+00:00,2026-01-01 00:01:16+00:00,86.0,54.0,58.0,0,1,2,70.0,63.0,72.0,91.0,77.0,81.0,0.0,77.6,Low
SKILL_077,2026-01-01 00:01:16+00:00,2026-01-01 00:01:17+00:00,38.0,61.0,95.0,1,0,2,72.0,47.0,65.0,81.0,80.0,89.0,23.0,69.7,Medium
SKILL_078,2026-01-01 00:01:17+00:00,2026-01-01 00:01:18+00:00,90.0,54.0,58.0,4,0,3,79.0,36.0,61.0,70.0,80.0,70.0,0.0,80.55,Low
SKILL_079,2026-01-01 00:01:18+00:00,2026-01-01 00:01:19+00:00,61.0,44.0,49.0,2,1,1,72.0,40.0,57.0,81.0,70.0,90.0,0.0,66.55,Low
SKILL_080,2026-01-01 00:01:19+00:00,2026-01-01 00:01:20+00:00,46.0,65.0,42.0,5,1,0,94.0,77.0,39.0,71.0,52.0,86.0,19.0,72.2,Medium
SKILL_081,2026-01-01 00:01:20+00:00,2026-01-01 00:01:21+00:00,62.0,70.0,38.0,5,2,4,74.0,75.0,45.0,57.0,45.0,90.0,8.0,80.9,Low
SKILL_082,2026-01-01 00:01:21+00:00,2026-01-01 00:01:22+00:00,55.0,65.0,65.0,5,2,0,35.0,97.0,88.0,89.0,95.0,84.0,10.0,81.9,Low
SKILL_083,2026-01-01 00:01:22+00:00,2026-01-01 00:01:23+00:00,55.0,86.0,82.0,0,1,3,91.0,60.0,75.0,69.0,96.0,69.0,31.0,80.3,High
SKILL_084,2026-01-01 00:01:23+00:00,2026-01-01 00:01:24+00:00,72.0,41.0,36.0,1,2,1,51.0,77.0,93.0,85.0,98.0,68.0,0.0,71.95,Low
SKILL_085,2026-01-01 00:01:24+00:00,2026-01-01 00:01:25+00:00,86.0,45.0,62.0,0,0,2,56.0,60.0,62.0,83.0,51.0,61.0,0.0,70.3,Low
SKILL_086,2026-01-01 00:01:25+00:00,2026-01-01 00:01:26+00:00,75.0,88.0,49.0,5,1,3,97.0,95.0,83.0,35.0,76.0,57.0,13.0,90.7,Medium
SKILL_087,2026-01-01 00:01:26+00:00,2026-01-01 00:01:27+00:00,93.0,95.0,91.0,5,0,0,79.0,64.0,50.0,74.0,63.0,62.0,2.0,91.6,Low
SKILL_088,2026-01-01 00:01:27+00:00,2026-01-01 00:01:28+00:00,48.0,90.0,76.0,1,1,3,72.0,85.0,97.0,38.0,45.0,52.0,42.0,78.5,High
SKILL_089,2026-01-01 00:01:28+00:00,2026-01-01 00:01:29+00:00,37.0,71.0,39.0,1,2,1,89.0,66.0,84.0,41.0,73.0,52.0,34.0,66.1,High
SKILL_090,2026-01-01 00:01:29+00:00,2026-01-01 00:01:30+00:00,91.0,94.0,88.0,4,1,0,85.0,42.0,68.0,69.0,76.0,68.0,3.0,91.4,Low
SKILL_091,2026-01-01 00:01:30+00:00,2026-01-01 00:01:31+00:00,66.0,95.0,75.0,2,0,4,48.0,89.0,82.0,41.0,54.0,51.0,29.0,79.4,High
SKILL_092,2026-01-01 00:01:31+00:00,2026-01-01 00:01:32+00:00,57.0,60.0,48.0,4,2,3,63.0,94.0,36.0,35.0,91.0,49.0,3.0,74.3,Low
SKILL_093,2026-01-01 00:01:32+00:00,2026-01-01 00:01:33+00:00,45.0,81.0,31.0,2,2,3,54.0,39.0,71.0,72.0,74.0,53.0,36.0,66.35,High
SKILL_094,2026-01-01 00:01:33+00:00,2026-01-01 00:01:34+00:00,87.0,83.0,53.0,0,1,2,48.0,43.0,74.0,100.0,89.0,69.0,0.0,75.55,Low
SKILL_095,2026-01-01 00:01:34+00:00,2026-01-01 00:01:35+00:00,43.0,93.0,51.0,2,1,3,60.0,92.0,63.0,71.0,55.0,50.0,50.0,73.35,High
SKILL_096,2026-01-01 00:01:35+00:00,2026-01-01 00:01:36+00:00,55.0,81.0,70.0,5,1,0,71.0,59.0,61.0,91.0,75.0,50.0,26.0,80.6,High
SKILL_097,2026-01-01 00:01:36+00:00,2026-01-01 00:01:37+00:00,68.0,51.0,82.0,1,0,0,60.0,96.0,80.0,98.0,46.0,98.0,0.0,76.9,Low
SKILL_098,2026-01-01 00:01:37+00:00,2026-01-01 00:01:38+00:00,35.0,90.0,82.0,3,2,1,63.0,55.0,45.0,74.0,55.0,80.0,55.0,74.5,High
SKILL_099,2026-01-01 00:01:38+00:00,2026-01-01 00:01:39+00:00,93.0,78.0,83.0,1,2,4,90.0,67.0,70.0,54.0,63.0,79.0,0.0,94.25,Low
SKILL_100,2026-01-01 00:01:39+00:00,2026-01-01 00:01:40+00:00,77.0,56.0,91.0,2,0,2,60.0,100.0,74.0,51.0,45.0,69.0,0.0,81.55,Low
SKILL_101,2026-01-01 00:01:40+00:00,2026-01-01 00:01:41+00:00,74.0,81.0,54.0,2,2,1,78.0,85.0,46.0,53.0,81.0,88.0,7.0,79.0,Low
SKILL_102,2026-01-01 00:01:41+00:00,2026-01-01 00:01:42+00:00,95.0,56.0,86.0,0,2,3,96.0,42.0,55.0,59.0,62.0,69.0,0.0,87.05,Low
SKILL_103,2026-01-01 00:01:42+00:00,2026-01-01 00:01:43+00:00,49.0,98.0,55.0,0,0,1,81.0,66.0,44.0,50.0,51.0,61.0,49.0,62.7,High
SKILL_104,2026-01-01 00:01:43+00:00,2026-01-01 00:01:44+00:00,48.0,54.0,36.0,0,2,1,93.0,73.0,52.0,93.0,86.0,83.0,6.0,67.85,Low
SKILL_105,2026-01-01 00:01:44+00:00,2026-01-01 00:01:45+00:00,48.0,70.0,53.0,2,0,1,37.0,71.0,77.0,74.0,70.0,99.0,22.0,62.85,Medium
SKILL_106,2026-01-01 00:01:45+00:00,2026-01-01 00:01:46+00:00,73.0,54.0,33.0,4,1,0,47.0,67.0,50.0,76.0,88.0,46.0,0.0,67.6,Low
SKILL_107,2026-01-01 00:01:46+00:00,2026-01-01 00:01:47+00:00,76.0,73.0,59.0,2,2,4,47.0,52.0,66.0,73.0,90.0,96.0,0.0,80.25,Low
SKILL_108,2026-01-01 00:01:47+00:00,2026-01-01 00:01:48+00:00,63.0,92.0,86.0,3,2,0,44.0,64.0,59.0,39.0,45.0,74.0,29.0,76.95,High
SKILL_109,2026-01-01 00:01:48+00:00,2026-01-01 00:01:49+00:00,37.0,84.0,43.0,5,1,3,52.0,96.0,71.0,59.0,92.0,45.0,47.0,74.15,High
SKILL_110,2026-01-01 00:01:49+00:00,2026-01-01 00:01:50+00:00,49.0,48.0,44.0,0,0,3,46.0,93.0,71.0,95.0,81.0,87.0,0.0,63.15,Low
SKILL_111,2026-01-01 00:01:50+00:00,2026-01-01 00:01:51+00:00,73.0,95.0,92.0,5,2,4,59.0,86.0,38.0,93.0,52.0,64.0,22.0,98.7,Medium
SKILL_112,2026-01-01 00:01:51+00:00,2026-01-01 00:01:52+00:00,79.0,85.0,86.0,1,0,0,37.0,40.0,39.0,39.0,98.0,91.0,6.0,64.8,Low
SKILL_113,2026-01-01 00:01:52+00:00,2026-01-01 00:01:53+00:00,43.0,74.0,49.0,1,0,4,69.0,84.0,96.0,51.0,68.0,47.0,31.0,69.4,High
SKILL_114,2026-01-01 00:01:53+00:00,2026-01-01 00:01:54+00:00,72.0,52.0,43.0,4,1,2,90.0,63.0,43.0,59.0,78.0,56.0,0.0,75.8,Low
SKILL_115,2026-01-01 00:01:54+00:00,2026-01-01 00:01:55+00:00,43.0,54.0,69.0,0,0,2,93.0,72.0,39.0,82.0,70.0,62.0,11.0,66.2,Low
SKILL_116,2026-01-01 00:01:55+00:00,2026-01-01 00:01:56+00:00,71.0,99.0,77.0,4,0,4,74.0,79.0,96.0,92.0,47.0,100.0,28.0,94.85,High
SKILL_117,2026-01-01 00:01:56+00:00,2026-01-01 00:01:57+00:00,68.0,79.0,62.0,5,2,3,93.0,93.0,82.0,75.0,57.0,87.0,11.0,96.75,Low
SKILL_118,2026-01-01 00:01:57+00:00,2026-01-01 00:01:58+00:00,59.0,92.0,71.0,3,2,2,72.0,94.0,41.0,39.0,87.0,89.0,33.0,81.35,High
SKILL_119,2026-01-01 00:01:58+00:00,2026-01-01 00:01:59+00:00,65.0,62.0,71.0,1,2,4,64.0,73.0,65.0,36.0,58.0,57.0,0.0,77.65,Low
SKILL_120,2026-01-01 00:01:59+00:00,2026-01-01 00:02:00+00:00,73.0,41.0,42.0,5,2,0,51.0,94.0,98.0,69.0,92.0,50.0,0.0,80.5,Low
SKILL_121,2026-01-01 00:02:00+00:00,2026-01-01 00:02:01+00:00,64.0,46.0,92.0,3,2,4,56.0,54.0,98.0,51.0,56.0,66.0,0.0,85.7,Low
SKILL_122,2026-01-01 00:02:01+00:00,2026-01-01 00:02:02+00:00,44.0,93.0,94.0,5,1,2,84.0,48.0,98.0,81.0,73.0,56.0,49.0,90.4,High
SKILL_123,2026-01-01 00:02:02+00:00,2026-01-01 00:02:03+00:00,93.0,74.0,81.0,4,2,4,45.0,67.0,40.0,66.0,95.0,55.0,0.0,90.9,Low
SKILL_124,2026-01-01 00:02:03+00:00,2026-01-01 00:02:04+00:00,80.0,73.0,58.0,3,0,2,47.0,73.0,49.0,63.0,73.0,55.0,0.0,73.45,Low
SKILL_125,2026-01-01 00:02:04+00:00,2026-01-01 00:02:05+00:00,66.0,41.0,76.0,5,1,2,61.0,90.0,55.0,81.0,60.0,81.0,0.0,83.55,Low
SKILL_126,2026-01-01 00:02:05+00:00,2026-01-01 00:02:06+00:00,40.0,58.0,86.0,4,2,2,35.0,92.0,72.0,49.0,78.0,79.0,18.0,76.55,Medium
SKILL_127,2026-01-01 00:02:06+00:00,2026-01-01 00:02:07+00:00,59.0,63.0,41.0,1,2,3,61.0,94.0,80.0,51.0,73.0,97.0,4.0,73.4,Low
SKILL_128,2026-01-01 00:02:07+00:00,2026-01-01 00:02:08+00:00,49.0,66.0,75.0,1,2,2,98.0,78.0,87.0,58.0,47.0,64.0,17.0,81.85,Medium
SKILL_129,2026-01-01 00:02:08+00:00,2026-01-01 00:02:09+00:00,49.0,64.0,46.0,5,0,0,94.0,97.0,36.0,45.0,57.0,61.0,15.0,69.75,Medium
SKILL_130,2026-01-01 00:02:09+00:00,2026-01-01 00:02:10+00:00,55.0,57.0,93.0,1,1,2,79.0,67.0,75.0,42.0,55.0,66.0,2.0,76.3,Low
SKILL_131,2026-01-01 00:02:10+00:00,2026-01-01 00:02:11+00:00,58.0,80.0,46.0,3,0,3,54.0,67.0,74.0,66.0,94.0,77.0,22.0,71.0,Medium
SKILL_132,2026-01-01 00:02:11+00:00,2026-01-01 00:02:12+00:00,67.0,72.0,59.0,0,0,3,60.0,56.0,100.0,72.0,83.0,70.0,5.0,72.05,Low
SKILL_133,2026-01-01 00:02:12+00:00,2026-01-01 00:02:13+00:00,92.0,89.0,44.0,1,1,3,83.0,95.0,40.0,43.0,50.0,53.0,0.0,80.45,Low
SKILL_134,2026-01-01 00:02:13+00:00,2026-01-01 00:02:14+00:00,65.0,71.0,70.0,1,1,3,96.0,96.0,41.0,38.0,50.0,66.0,6.0,78.75,Low
SKILL_135,2026-01-01 00:02:14+00:00,2026-01-01 00:02:15+00:00,75.0,99.0,43.0,2,1,3,46.0,47.0,59.0,79.0,95.0,63.0,24.0,74.15,Medium
SKILL_136,2026-01-01 00:02:15+00:00,2026-01-01 00:02:16+00:00,70.0,84.0,37.0,4,2,4,89.0,66.0,85.0,78.0,62.0,50.0,14.0,89.55,Medium
SKILL_137,2026-01-01 00:02:16+00:00,2026-01-01 00:02:17+00:00,53.0,61.0,66.0,0,2,2,62.0,69.0,95.0,88.0,59.0,77.0,8.0,76.05,Low
SKILL_138,2026-01-01 00:02:17+00:00,2026-01-01 00:02:18+00:00,46.0,88.0,60.0,1,0,3,71.0,38.0,54.0,94.0,68.0,94.0,42.0,68.05,High
SKILL_139,2026-01-01 00:02:18+00:00,2026-01-01 00:02:19+00:00,85.0,71.0,65.0,1,0,1,100.0,68.0,70.0,40.0,83.0,86.0,0.0,77.65,Low
SKILL_140,2026-01-01 00:02:19+00:00,2026-01-01 00:02:20+00:00,85.0,97.0,41.0,2,0,1,74.0,55.0,49.0,60.0,52.0,80.0,12.0,72.15,Medium
SKILL_141,2026-01-01 00:02:20+00:00,2026-01-01 00:02:21+00:00,64.0,62.0,71.0,3,1,1,71.0,72.0,75.0,96.0,98.0,91.0,0.0,81.85,Low
SKILL_142,2026-01-01 00:02:21+00:00,2026-01-01 00:02:22+00:00,90.0,78.0,31.0,5,0,2,62.0,100.0,69.0,39.0,45.0,84.0,0.0,79.6,Low
SKILL_143,2026-01-01 00:02:22+00:00,2026-01-01 00:02:23+00:00,90.0,75.0,74.0,2,1,2,48.0,44.0,35.0,39.0,64.0,52.0,0.0,73.8,Low
SKILL_144,2026-01-01 00:02:23+00:00,2026-01-01 00:02:24+00:00,46.0,40.0,86.0,5,0,2,71.0,81.0,71.0,83.0,93.0,100.0,0.0,79.85,Low
SKILL_145,2026-01-01 00:02:24+00:00,2026-01-01 00:02:25+00:00,90.0,67.0,35.0,3,2,4,54.0,36.0,71.0,54.0,70.0,73.0,0.0,78.4,Low
SKILL_146,2026-01-01 00:02:25+00:00,2026-01-01 00:02:26+00:00,89.0,74.0,88.0,4,0,0,85.0,46.0,54.0,87.0,94.0,68.0,0.0,86.7,Low
